Course_id,Course,Course_organization,Course_Certificate_type,Course_rating,Course_difficulty,Course_students_enrolled
743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17000.0
874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130000.0
413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91000.0
635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320000.0
661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39000.0
54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350000.0
488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2400.0
58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61000.0
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12000.0
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4000.0
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13000.0
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130000.0
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11000.0
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27000.0
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110000.0
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13000.0
819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6600.0
63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540000.0
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22000.0
612,Access Controls,University of Illinois at Urbana-Champaign,COURSE,4.6,Beginner,2900.0
604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80000.0
727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9900.0
51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110000.0
838,Achieving Personal and Professional Success,University of Pennsylvania,COURSE,4.8,Mixed,23000.0
330,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9200.0
247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78000.0
157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320000.0
103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190000.0
324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35000.0
266,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29000.0
825,Advertising and Society,Duke University,COURSE,4.8,Mixed,14000.0
853,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21000.0
75,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94000.0
482,Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69000.0
212,Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40000.0
561,Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220000.0
78,Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150000.0
242,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14000.0
322,American Contract Law I,Yale University,COURSE,4.9,Beginner,18000.0
159,An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23000.0
265,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69000.0
